condition,brain_ID,starter_X,starter_Y
Ta1 Cre-ON,CBLK1855_1D,360.869,363.5386124435475
Ta1 Cre-ON,CBLK1855_1D,361.46200000000005,404.4499627803459
Ta1 Cre-ON,CBLK1855_1D,45.961,337.04381240900915
Ta1 Cre-ON,CBLK1855_1D,624.775,228.76357357695937
Ta1 Cre-ON,CBLK1855_1D,340.706,468.0952537779014
Ta1 Cre-ON,CBLK1855_1D,413.057,469.9813731969291
Ta1 Cre-ON,CBLK1855_1D,580.297,454.0675122592653
Ta1 Cre-ON,CBLK1855_1D,942.6480000000001,336.3282944554491
Ta1 Cre-ON,CBLK1855_1D,927.229,286.7892826120938
Ta1 Cre-ON,CBLK1855_1D,468.804,501.7471346834655
Ta1 Cre-ON,CBLK1855_1D,406.53399999999993,285.81152109881907
Ta1 Cre-ON,CBLK1870_1A,609.0589999999999,427.1693787278011
Ta1 Cre-ON,CBLK1870_1A,516.247,367.2335604044991
Ta1 Cre-ON,CBLK1870_1A,713.732,339.9684829054843
Ta1 Cre-ON,CBLK1870_1A,673.9979999999999,336.92760269178194
Ta1 Cre-ON,CBLK1870_1A,1142.505,221.34515770834128
Ta1 Cre-ON,CBLK1870_1A,817.515,275.3524207848856
Ta1 Cre-ON,CBLK1870_1A,772.444,280.08635032200647
Ta1 Cre-ON,CBLK1870_1A,185.624,307.2623591038817
Ta1 Cre-ON,CBLK1870_1A,534.039,358.96522606177007
Ta1 Cre-ON,CBLK1870_1A,664.707,358.40614290389004
Ta1 Cre-ON,CBLK1870_1A,1056.118,480.5351009450793
Ta1 Cre-ON,CBLK1870_1A,754.059,286.8418208951735
Ta1 Cre-ON,CBLK1870_1B,451.902,464.9633320334648
Ta1 Cre-ON,CBLK1870_1B,550.051,410.2050786221647
Ta1 Cre-ON,CBLK1870_1B,613.211,251.25913259143223
Ta1 Cre-ON,CBLK1870_1B,541.155,421.19331035363894
Ta1 Cre-ON,CBLK1870_1B,782.3279999999999,464.24609458326586
Ta1 Cre-ON,CBLK1870_1B,858.831,539.8959357905342
Ta1 Cre-ON,CBLK1870_1B,998.7899999999998,410.1773610494857
Ta1 Cre-ON,CBLK1870_1B,801.5030000000002,444.3002316597069
Ta1 Cre-ON,CBLK1870_1B,60.194,214.23229649077385
Ta1 Cre-ON,CBLK1870_1C,500.5319999999999,365.8279272553126
Ta1 Cre-ON,CBLK1870_1C,406.53399999999993,397.8791513311672
Ta1 Cre-ON,CBLK1870_1C,612.914,184.2132141895363
Ta1 Cre-ON,CBLK1870_1C,537.004,150.08970898800877
Ta1 Cre-ON,CBLK1870_1C,738.6399999999999,314.5023539926066
Ta1 Cre-ON,CBLK1870_1C,522.771,272.401412337036
